# ----------------------------------------
# Landing page: Landing page
# Account: Attack A Crack
# Property: Attack A Crack - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20260308
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,10890,9115,8954,36.37373737373738,38787,0,0.9136822773186409
/massachusetts,3023,2797,2781,7.2203109493880255,9687,0,0.9993384055573933
/concrete-foundation-crack-repair-ct,908,862,851,18.3579295154185,3387,0,0.9581497797356828
(not set),710,485,0,7.29718309859155,707,0,0.9169014084507042
/services,336,238,172,29.238095238095237,1156,0,0.9732142857142857
/leaky-bulkhead-repair,329,295,284,44.30395136778115,1065,0,0.9118541033434651
/pyrrhotite-in-concrete,278,112,1,31.136690647482013,513,0,0.5971223021582733
/blog/crumbling-foundations-in-massachusetts-and-connecticut,241,220,219,53.71784232365145,840,0,1
/about,239,186,146,23.610878661087867,812,0,0.9581589958158996
/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,222,213,210,43.270270270270274,885,0,0.9954954954954955
/carbon-fiber-stitches,221,208,206,33.705882352941174,773,0,0.9728506787330317
/contact,163,131,99,17.447852760736197,511,0,0.8895705521472392
/foundation-crack-injection,159,121,114,33.729559748427675,517,0,1
/free-inspection,102,86,72,18.647058823529413,288,0,0.8431372549019608
/blog,89,78,67,17.01123595505618,342,0,1
/connecticut,81,72,66,18.753086419753085,275,0,0.9876543209876543
/sewer-well-conduit-line-repair,77,76,76,16.350649350649352,260,0,1
/foundation-crack-repair,59,53,44,69.1864406779661,217,0,0.8983050847457628
/realtors-and-inspectors,52,52,49,21.53846153846154,191,0,0.9807692307692307
/partners,46,39,25,70.15217391304348,223,0,1
/videos,45,28,12,76.2,216,0,0.9777777777777777
/google_reviews,41,40,33,95.39024390243902,178,0,0.8292682926829268
/concrete-crack-injection,40,32,26,55.925,133,0,0.85
/free-foundation-consultations,39,37,36,10.025641025641026,138,0,1
/wall-crack-repair,35,35,35,17.97142857142857,114,0,1
/write-a-review,34,29,25,11.529411764705882,47,0,0.38235294117647056
/123.php,30,30,30,0,113,0,1
/partners/realtors,30,30,30,12.4,101,0,1
/lifetime-guarantee,27,23,21,32.18518518518518,86,0,0.8888888888888888
/blog/ashi-home-inspectors-new-england-conference-2024,21,21,21,9.428571428571429,70,0,1
/partners/general-contractors,20,20,20,14.4,66,0,1
/blog/how-to-check-your-foundation-for-problems,19,19,19,16.789473684210527,65,0,1
/pyrrhotite,19,18,18,32.73684210526316,20,0,0.2631578947368421
/cart,18,18,18,4.5,68,0,1
/partners/property-managers,18,18,18,1.6666666666666667,58,0,1
/blog/the-2026-foundation-repair-cost-guide-what-ma-amp-ct-homeowners-should-expect,17,13,11,3.7058823529411766,53,0,1
/tos,16,12,10,36.125,56,0,1
/blog/10-essential-tips-for-a-worry-free-foundation,15,15,14,51.733333333333334,49,0,1
/blog/winter-home-maintenance-cold-prep,15,14,12,4.133333333333334,47,0,1
/blog/nar-nxt-2024-real-estate-conference,14,14,14,0.7142857142857143,46,0,1
/blog/finished-basement-flooded-in-shrewsbury,13,13,12,0.38461538461538464,40,0,1
/home,13,13,11,20.384615384615383,44,0,0.9230769230769231
/tips,13,11,7,72.3076923076923,53,0,0.9230769230769231
/privacy-policy,12,12,12,2.5833333333333335,32,0,0.8333333333333334
/blog/leaky-bulkhead-in-wilmington,10,10,10,0,30,0,1
/sewer-and-well-line-injection,10,9,3,75.7,39,0,1
/bilco-door-bulkhead-leaking-at-foundation-in-basement,9,9,9,22.555555555555557,29,0,0.8888888888888888
/blog/basement-leak-nightmare-how-we-stopped-an-active-crack-leak-in-framingham,9,8,7,24.666666666666668,30,0,1
/partners/home-inspectors,9,9,9,14.222222222222221,29,0,1
/blog/tag/connecticut,8,8,8,6.125,29,0,1
/dmca,8,8,8,9.5,23,0,0.875
/your-homes-foundation-may-be-compromised,7,6,3,51.57142857142857,17,0,0.8571428571428571
/blog/vertical-vs-horizontal-foundation-cracks-when-to-hit-the-panic-button,5,5,5,25.4,19,0,1
/home-seller,5,5,5,0,9,0,0.6
/real-estate,5,5,4,12,12,0,0.8
,4,4,0,12.5,1,0,0.25
/angies-list,4,4,3,53.5,12,0,0.75
/contact-us,4,4,4,106.75,34,0,1
/home-buyer,4,4,4,0,9,0,0.75
/blog/tag/massachusetts,3,3,2,5.333333333333333,12,0,1
/index.htm,3,3,3,0,9,0,1
/pagead/aclk,3,1,0,0,9,0,1
/reviews,3,3,3,0,12,0,1
/sms:6176681677,3,3,4,2.6666666666666665,15,0,1
/sms:8605738760,3,3,3,0,12,0,1
/blog/tag/case+study,2,2,2,0,6,0,1
/blog/tag/events,2,2,2,3,8,0,1
/blog/tag/home+inspectors,2,2,2,0.5,7,0,1
/blog/tag/leaky+basement,2,2,2,0,7,0,1
/blog/tag/leaky+bulkhead,2,2,2,0,7,0,1
/blog/tag/settling+crack,2,2,2,0.5,8,0,1
/connecticut-ct,2,2,2,24,0,0,0
/cpanel,2,1,0,2.5,6,0,1
/locations,2,2,1,58,12,0,1
/trusted-partners,2,2,0,62.5,7,0,1
/10-fast-tips-for-a-worry-free-foundation,1,1,1,46,0,0,0
/FYI,1,1,1,80,8,0,1
/author/staging/page/17,1,1,0,53,3,0,1
/basement-wall-crack,1,1,1,643,5,0,1
/blog/blog-post-title-two-5d578,1,1,0,68,6,0,1
/blog/tag/real+estate,1,1,1,0,4,0,1
/blog/tag/water+intrusion,1,1,1,0,4,0,1
/category/uncategorized,1,1,0,211,42,0,1
/concrete-foundation-tips,1,1,1,7,4,0,1
/contest_rules,1,1,1,0,3,0,1
/crack-in-foundation,1,1,0,217,27,0,1
/crack-repairs,1,1,1,27,5,0,1
/get-in-touch,1,1,1,0,4,0,1
/hatchway-issue,1,1,1,2,3,0,1
/home-maintenance-and-winter-prep-checklist,1,1,1,0,3,0,1
/icon,1,1,1,0,4,0,1
/portfolio-items/pyrrhotite,1,1,1,154,5,0,1
/preparing-your-home-for-the-winter-chill,1,1,0,93,7,0,1
/request-a-quote,1,1,1,0,4,0,1
/request-quote,1,1,1,0,4,0,1
/testing-about-contact-form,1,1,0,274,0,0,0
/two-long-narrow-cracks-in-1930-block-foundation,1,1,1,20,4,0,1
/water-leaking-into-house,1,1,1,10,4,0,1
/wp-content/uploads/2014/07/bulkhead1.jpg,1,1,0,1,3,0,1
