Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
foundation crack repair services,1,1,1600,24,15.97,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,396,15.28,6324.00,0.25,8270000,"[0,20,27,36,36,36,36,52,100,80,27,80]",2026-02-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Local pack
a 1 foundation crack repair,1,1,260,35,9.03,https://www.a1foundationcrackrepair.com/,208,8.02,1878.00,0.27,14100000,"[18,18,28,23,23,100,35,100,66,28,35,23]",2026-01-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Short videos",navigational,Organic
flex seal,1,1,49500,50,0.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,198,7.64,57.00,1,229,"[45,36,30,55,45,55,55,55,55,45,45,55]",2026-03-06,"Knowledge panel, Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, AI overview","informational, navigational",Things to know
lally column,1,1,5400,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,175,6.75,96.00,0.75,592000,"[66,81,81,81,100,81,100,81,81,66,100,66]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, Things to know, AI overview",informational,Things to know
a 1 foundation crack repair inc,1,1,210,35,9.03,https://www.a1foundationcrackrepair.com/,168,6.48,1517.00,0.27,5320000,"[1,1,5,8,15,100,81,81,66,5,28,5]",2026-01-31,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
a 1 foundation,1,1,170,49,9.54,https://www.a1foundationcrackrepair.com/,136,5.24,1297.00,0.38,123,"[53,53,53,65,80,80,53,53,53,53,53,65]",2026-03-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
a1 foundation repair,1,1,170,28,11.52,https://www.a1foundationcrackrepair.com/,136,5.24,1566.00,0.49,23600000,"[53,53,80,53,65,65,65,53,53,80,53,42]",2026-03-08,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
a1 foundation,1,1,170,46,9.54,https://www.a1foundationcrackrepair.com/,136,5.24,1297.00,0.38,807000000,"[43,43,43,53,53,66,43,53,43,35,35,35]",2026-02-03,"Knowledge panel, Video, Related searches",informational,Organic
foundation crack repair company,1,1,320,21,18.91,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,79,3.04,1493.00,0.31,12200000,"[3,7,10,29,29,44,44,67,100,54,7,7]",2026-02-28,"Local pack, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
a1 foundation crack repair,1,1,90,37,7.97,https://www.a1foundationcrackrepair.com/,72,2.77,573.00,0.26,1230000,"[2,3,4,4,4,3,3,6,10,5,5,13]",2026-01-16,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
basement waterproofing foundation repair,1,1,480,49,18.31,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,63,2.43,1153.00,0.41,4310000,"[13,10,10,5,8,8,16,20,30,62,100,45]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
foundation repair massachusetts,1,1,210,26,11.73,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,52,2,609.00,0.48,50000000,"[28,28,28,35,28,35,28,100,100,100,82,82]",2026-01-31,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
foundation basement repair,1,1,390,34,18.41,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,51,1.96,938.00,0.47,16000000,"[1,4,13,100,3,3,3,11,13,8,52,4]",2026-02-24,"Local pack, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
foundation repair and waterproofing,1,1,320,2,27.04,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,42,1.62,1135.00,0.16,0,"[23,23,36,36,29,23,66,100,100,23,23,15]",2026-03-07,"Local pack, Video, Video Carousel, Related searches",commercial,Local pack
foundation repair waterproofing,1,1,320,26,19.39,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,42,1.62,814.00,0.62,9700000,"[23,15,23,28,28,35,35,66,100,100,81,81]",2026-03-04,"Local pack, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
foundation repair boston ma,1,1,140,0,13.02,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,34,1.31,442.00,0.33,150,"[42,42,100,33,66,100,80,66,80,52,52,23]",2026-03-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
basement waterproofing boston,1,1,260,52,20.60,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,34,1.31,700.00,0.38,361000,"[23,29,36,44,36,29,23,54,66,29,44,44]",2026-01-22,"Local pack, Video, People also ask, Related searches",commercial,Local pack
foundation repair ma,1,1,140,41,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,34,1.31,0.00,0.15,81700000,"[26,26,34,19,26,34,26,26,100,100,80,65]",2026-01-06,"Local pack, Image, People also ask, Related searches",commercial,Local pack
a 1 foundation repair,1,1,140,9,10.51,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,34,1.31,357.00,0.46,307000000,"[6,6,0,1,15,100,8,100,54,0,1,0]",2026-02-28,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
foundation leak repair companies,1,1,260,14,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,34,1.31,0.00,0.5,5730000,"[6,15,15,29,29,29,23,100,81,36,29,29]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
basement crack repair companies,1,1,110,27,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,27,1.04,0.00,0.9,2860000,"[26,11,7,7,15,19,19,100,100,65,65,65]",2026-01-20,"Local pack, Video Carousel, People also ask, Related searches",commercial,Local pack
a-1 foundation,1,1,30,,9.93,https://www.a1foundationcrackrepair.com/,24,0.92,238.00,0.39,1720000000,"[75,75,100,75,75,50,75,50,75,75,25,50]",2025-12-25,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
a1 crack repair,1,1,90,31,8.21,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,22,0.84,180.00,0.5,9680000,"[33,33,42,42,42,33,33,42,52,52,52,23]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
foundation crack repair companies,1,1,260,31,17.58,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,21,0.81,369.00,0.35,4650000,"[6,9,12,15,19,23,36,29,81,100,44,23]",2026-01-12,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
foundation crack repair service,1,1,260,22,25.06,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,21,0.81,526.00,0.17,8460000,"[2,2,19,23,36,36,36,44,66,100,44,12]",2026-01-05,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Local pack
basement crack repair service,1,1,140,25,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,18,0.69,0.00,0.01,4480000,"[4,4,4,4,4,4,4,4,29,81,100,100]",2026-01-23,"Local pack, Video, Image, People also ask, Related searches, Ads middle",commercial,Local pack
foundation and crack repair services,1,1,70,4,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,17,0.65,0.00,0,11700000,"[14,50,35,50,50,64,100,100,50,14,0]",2026-02-02,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
massachusetts foundation repair,1,1,70,2,11.73,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,17,0.65,199.00,0.48,9050000,"[63,36,27,27,36,18,18,81,81,81,100,81]",2026-03-01,"Local pack, Image, People also ask, Related searches",commercial,Local pack
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,15,0.57,8.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
foundation crack repair massachusetts,1,1,50,23,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,12,0.46,0.00,1,3140000,"[22,22,22,22,22,22,33,100,77,77,100,77]",2026-02-05,"Local pack, People also ask, Related searches",commercial,Local pack
foundation repair natick,1,1,50,2,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,12,0.46,0.00,0,232000,"[0,9,36,81,45,100]",2026-02-21,"Local pack, Video, Image, Related searches",commercial,Local pack
foundation repair malden,1,1,50,6,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,12,0.46,0.00,0,386000,"[80,100,100]",2026-01-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
concrete basement repair,1,1,50,23,12.69,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,12,0.46,152.00,0.87,29400000,"[21,14,14,21,28,21,21,35,78,78,28,28]",2026-01-14,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Local pack
foundation crack repair specialist,1,1,140,36,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,11,0.42,0.00,0.05,1340000,"[7,7,53,65,53,65,65,65,100,100,53,11]",2026-01-05,"Local pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Local pack
cottage with gap in foundation,3,3,480,20,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-is-the-worst-that-can-happen-if-i-dig-out-around-my-foundation,11,0.42,0.00,0,41900000,"[100,0,0,0]",2026-02-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
stone foundation repair,3,3,1000,6,6.95,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,9,0.34,62.00,0.14,93800000,"[13,8,16,16,24,24,100,100,79,30,41,41]",2026-02-07,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Local pack
professional foundation crack repair services,4,4,390,18,0.00,https://www.a1foundationcrackrepair.com/residential-services,9,0.34,0.00,0,6860000,"[44,66,66,66,81,66,81,100,66,15]",2026-01-07,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
foundation repair ri,1,0,40,16,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,9,0.34,0.00,0.8,0,"[11,17,11,11,11,17,100,41,29,11,11,11]",2026-03-08,"Local pack, Video, Image, Related searches",commercial,Local pack
foundation crack repair company near me,1,1,40,34,22.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,9,0.34,198.00,0.64,10900000,"[7,0,14,7,7,14,7,28,100,100,50,50]",2026-01-10,"Local pack, Video, Ads bottom, People also ask, Related searches",transactional,Local pack
front stair repair,1,1,70,26,7.95,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,9,0.34,71.00,0.71,0,"[35,64,35,50,78,78,35,50,50,100,35,28]",2026-03-07,"Local pack, Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums",commercial,Local pack
basement waterproofing massachusetts,1,1,110,47,11.17,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,7,0.27,78.00,0.36,1630000,"[23,42,52,42,33,42,42,100,80,66,52,42]",2026-02-02,"Local pack, Video, Image, People also ask, Related searches, AI overview",informational,Local pack
