Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
concrete crack repair,10,10,8100,35,2.57,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,255,13.08,655.00,1,24900000,"[24,29,44,66,54,100,100,100,81,54,44,36]",2026-03-04,"Knowledge panel, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Knowledge panel
crackx,1,1,260,37,7.54,https://crackx.com/,208,10.67,1568.00,0.49,129000,"[54,15,15,23,29,23,44,23,23,36,23,19]",2026-01-23,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
crack x foundation repair,1,1,210,41,14.90,https://crackx.com/,168,8.61,2503.00,0.91,19300000,"[7,12,12,12,7,44,2,100,81,5,5,2]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
crack x,1,1,480,18,7.54,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,119,6.1,897.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
crack x massachusetts,1,1,320,1,7.45,https://crackx.com/natick-massachusetts/,79,4.05,588.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
crack x,1,1,480,18,7.54,https://www.crackx.com/?utm_source=gmbmerri&utm_medium=organic,63,3.23,475.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
crack x natick,1,1,210,10,7.54,https://crackx.com/natick-massachusetts/,52,2.66,392.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
bulkhead doors basement,1,1,720,21,1.14,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,47,2.41,53.00,0.72,856000,"[16,30,67,67,76,67,45,76,100,55,67,67]",2026-01-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
concrete piers,1,1,2900,14,3.20,https://crackx.com/hydraulic-piers-or-concrete-piers-choosing-the-best-foundation-repair/,43,2.2,137.00,0.34,9960000,"[66,66,80,100,80,80,66,100,100,52,66,66]",2026-03-05,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, See results about, Things to know, AI overview","commercial, informational",Things to know
crack x massachusetts,2,2,320,1,7.45,https://crackx.com/,42,2.15,312.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
crack x,1,1,480,18,7.54,https://crackx.com/new-hampshire/?utm_source=gmbnh&utm_medium=organic,39,2,294.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
crack x,1,1,480,18,7.54,https://crackx.com/,31,1.59,233.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
professional foundation crack repair,1,1,480,2,16.21,https://crackx.com/diy-vs-professional-foundation-crack-repair-what-homeowners-need-to-know/,29,1.48,470.00,0.1,8060000,"[0,24,30,30,36,45,45,55,100,67,3,3]",2026-02-27,"Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
crack x natick,2,2,210,10,7.54,https://crackx.com/,27,1.38,203.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
crack x massachusetts,3,3,320,1,7.45,https://crackx.com/about-us/,26,1.33,193.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
crack x nh,1,1,30,20,12.02,https://crackx.com/new-hampshire/,24,1.23,288.00,0.74,4090000,"[18,18,18,36,27,63,45,27,36,27,18,27]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
benefits of epoxy garage floor,1,1,390,14,3.47,https://crackx.com/epoxy-garage-floors/,23,1.18,79.00,0.27,3090000,"[81,81,81,66,100,81,100,81,100,100,100,81]",2026-01-05,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
crack x,2,2,480,18,7.54,https://crackx.com/natick-massachusetts/,21,1.07,158.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
