Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,attackacrack.com,a1foundationcrackrepair.com,crackx.com,groundworks.com,attackacrack.com (pages),a1foundationcrackrepair.com (pages),crackx.com (pages),groundworks.com (pages),Results
basement crack repair near me,Transactional,3600,7,14.57,0.68,0,21,72,8,,https://www.a1foundationcrackrepair.com/massachusetts,https://crackx.com/new-hampshire/,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,218
basement floor crack repair,Informational,3600,13,5.97,0.20,0,33,25,13,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6240000
fixing cracks in basement floor,Informational,2400,17,4.20,0.17,0,56,10,19,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,145
basement floor repair,Informational,1900,23,10.83,0.13,0,49,16,23,,https://www.a1foundationcrackrepair.com/,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,0
cracks in basement floor,Informational,1900,12,4.50,0.07,0,33,13,8,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,12000000
basement water seepage repair,Informational,880,14,19.37,0.64,0,76,70,24,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,https://crackx.com/what-causes-water-seepage-in-the-basement-and-how-to-stop-it/,https://www.groundworks.com/resources/9-practical-tips-to-stop-water-leakage-in-your-basement-after-rain/,492000
sealing cracks in basement floor,Informational,720,20,2.21,0.12,0,67,30,21,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,7360000
basement floor crack,Informational,590,16,4.50,0.07,0,53,45,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,20300000
cracks in foundation floor,Informational,590,6,5.21,0.07,0,44,8,16,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,24900000
basement floor cracking,Informational,480,9,4.50,0.07,0,47,87,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,24200000
basement foundation leak repair,Informational,390,18,11.40,0.93,0,45,30,38,,https://www.a1foundationcrackrepair.com/connecticut,https://crackx.com/maine/,https://www.groundworks.com/contact-us/,4790000
fieldstone foundation,"Informational, Transactional",390,12,2.57,0.06,0,26,57,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking-stone-foundations-fieldstone-foundation-waterproofing,https://crackx.com/fieldstone-foundation-repair-restoration/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,1080000
sandstone foundation repair,Informational,390,12,6.95,0.14,0,31,52,5,,https://www.a1foundationcrackrepair.com/stone-foundation,https://crackx.com/fieldstone-foundation-repair-restoration/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,195
basement floor cracks,Informational,320,9,4.50,0.07,0,26,93,7,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,9520000
bulkhead repair near me,Transactional,320,11,7.82,0.78,0,9,2,4,,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,https://crackx.com/bulkhead-waterproofing/,https://www.groundworks.com/solutions/residential-seawall-and-bulkhead-repair/,3630000
crack in basement floor,Informational,320,7,4.50,0.07,0,47,24,4,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,14700000
foundation crack repair company,Commercial,320,21,18.91,0.31,0,9,11,16,,https://www.a1foundationcrackrepair.com/about,https://crackx.com/natick-massachusetts/,https://www.groundworks.com/,12200000
basement concrete crack,Informational,260,20,6.94,0.04,0,55,69,2,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,8330000
crack in foundation floor,Informational,260,4,5.21,0.07,0,31,7,12,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,39900000
fieldstone foundation repair cost,Informational,260,8,6.27,0.66,0,10,15,9,,https://www.a1foundationcrackrepair.com/stone-foundation,https://crackx.com/fieldstone-foundation-repair-special-merrimack-valley/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,207000
