Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,attackacrack.com,a1foundationcrackrepair.com,crackx.com,groundworks.com,attackacrack.com (pages),a1foundationcrackrepair.com (pages),crackx.com (pages),groundworks.com (pages),Results
basement waterproofing,Commercial,60500,48,14.01,0.49,0,0,0,6,,,,https://www.groundworks.com/solutions/basement-waterproofing/,0
foundation repair,Informational,60500,12,24.69,0.26,0,0,0,2,,,,https://www.groundworks.com/service-areas/foundation-repair-springfield-mo/,0
foundation repair near me,Transactional,49500,53,20.41,0.64,0,0,0,10,,,,https://www.groundworks.com/solutions/foundation-repair/,307000000
basement,Informational,40500,80,8.75,0.04,0,0,0,57,,,,https://www.groundworks.com/glossary/everything-you-need-to-know-about-basements/,0
dehumidifier for basement,Commercial,40500,37,1.20,1.00,0,0,0,41,,,,https://www.groundworks.com/solutions/basement-waterproofing/dehumidifier/,0
crawl space encapsulation,Informational,33100,32,11.92,0.39,0,0,0,26,,,,https://www.groundworks.com/resources/do-i-need-encapsulation-in-crawl-space/,0
basement waterproofing near me,Transactional,22200,38,17.45,0.25,0,0,0,49,,,,https://www.groundworks.com/service-areas/basement-waterproofing-middletown-de/,8730000
concrete leveling,Commercial,22200,39,10.61,0.78,0,0,0,9,,,,https://www.groundworks.com/solutions/concrete-lifting/,0
concrete leveling near me,Transactional,22200,21,13.84,0.16,0,0,0,5,,,,https://www.groundworks.com/service-areas/concrete-lifting-oklahoma-city-ok/,0
crawl space encapsulation near me,Transactional,22200,8,19.38,0.12,0,0,0,4,,,,https://www.groundworks.com/service-areas/crawl-space-repair-towson-md/,0
crawl space repair near me,Transactional,22200,11,18.29,0.53,0,0,0,4,,,,https://www.groundworks.com/service-areas/crawl-space-repair-cincinnati-oh/,14200000
self leveling concrete,Informational,22200,41,1.06,1.00,0,0,0,41,,,,https://www.groundworks.com/resources/is-self-leveling-concrete-good/,202
crawl space,Informational,18100,49,8.85,0.24,0,0,0,32,,,,https://www.groundworks.com/glossary/crawl-space/,85600000
crawl space repair,Commercial,18100,28,18.16,0.30,0,0,0,54,,,,https://www.groundworks.com/service-areas/crawl-space-repair-oklahoma-city-ok/,14100000
efflorescence,Informational,18100,41,0.65,0.04,0,0,0,52,,,,https://www.groundworks.com/glossary/efflorescence/,146
flooded basement,Informational,18100,27,41.11,0.51,0,0,0,67,,,,https://www.groundworks.com/resources/how-to-clean-up-a-flooded-basement/,30800000
slab leak repair,Informational,18100,33,19.34,0.33,0,0,0,13,,,,https://www.groundworks.com/resources/how-to-fix-pipe-under-slab/,6250000
basement flooding,Commercial,14800,29,41.11,0.51,0,0,0,55,,,,https://www.groundworks.com/solutions/basement-waterproofing/water-in-basement-cove/,0
concrete repair near me,Transactional,14800,40,10.25,0.68,0,0,0,50,,,,https://www.groundworks.com/,110000000
crawl space dehumidifier,"Commercial, Informational",14800,12,2.56,1.00,0,0,0,40,,,,https://www.groundworks.com/solutions/crawl-space-repair/dehumidifier/,3110000
crawl space insulation,Commercial,14800,16,8.26,0.48,0,0,0,33,,,,https://www.groundworks.com/resources/what-goes-into-insulating-a-crawl-space/,198
groundworks,Navigational,14800,60,9.18,0.38,0,0,0,1,,,,https://www.groundworks.com/,41600000
hydrostatic pressure,Informational,14800,53,0.97,0.00,0,0,0,31,,,,https://www.groundworks.com/resources/what-is-hydrostatic-pressure/,14500000
waterproofing inside basement,Informational,14800,15,15.25,0.36,0,0,0,46,,,,https://www.groundworks.com/resources/basement-waterproofing-ultimate-guide/,0
basement dehumidifier,Commercial,12100,25,1.20,1.00,0,0,0,29,,,,https://www.groundworks.com/solutions/basement-waterproofing/dehumidifier/,0
crawl space waterproofing near me,Transactional,12100,5,16.20,0.15,0,0,0,1,,,,https://www.groundworks.com/service-areas/crawl-space-repair-brunswick-ga/,0
house foundation repair,Informational,12100,10,19.20,0.54,0,0,0,3,,,,https://www.groundworks.com/resources/ultimate-guide-foundation-repair/,146
jes,Informational,12100,70,25.00,0.05,0,0,0,45,,,,https://www.groundworks.com/locations/jes-foundation-repair/,39800000
underpinning,Informational,12100,34,6.82,0.08,0,0,0,23,,,,https://www.groundworks.com/resources/residential-foundation-underpinning-repair/,15500000
water in basement,Informational,12100,26,25.69,0.79,0,0,0,10,,,,https://www.groundworks.com/resources/what-causes-water-in-basement/,0
water in crawl space,Informational,12100,11,14.77,0.62,0,0,0,21,,,,https://www.groundworks.com/solutions/crawl-space-repair/water-in-crawl-space/,42500000
concrete on concrete repair,Informational,9900,34,7.85,0.46,0,0,0,76,,,,https://www.groundworks.com/resources/how-to-fill-gaps-between-concrete/,154000000
crawl space vapor barrier,"Commercial, Informational",9900,4,6.66,1.00,0,0,0,61,,,,https://www.groundworks.com/solutions/crawl-space-repair/vapor-barrier/,1990000
crawlspace,Informational,9900,60,8.85,0.24,0,0,0,26,,,,https://www.groundworks.com/glossary/crawl-space/,0
crawlspace encapsulation,Informational,9900,29,14.44,0.32,0,0,0,11,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,138
driveway repair,Commercial,9900,28,8.17,0.56,0,0,0,10,,,,https://www.groundworks.com/service-areas/driveway-repair-houston-tx/,0
foundation contractors near me,Transactional,9900,42,13.72,0.67,0,0,0,10,,,,https://www.groundworks.com/,77400000
foundation repair companies,Commercial,9900,62,20.06,0.12,0,0,0,35,,,,https://www.groundworks.com/solutions/foundation-repair/,141000000
foundation repair cost,Informational,9900,31,7.49,0.29,0,0,0,17,,,,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,188000000
home foundation repair,Commercial,9900,23,19.20,0.54,0,0,0,3,,,,https://www.groundworks.com/solutions/foundation-repair/,0
how to get rid of ants in the house,Informational,9900,27,0.65,0.79,0,0,0,77,,,,https://www.groundworks.com/resources/ants-in-the-house/,55400000
soil layers,Informational,9900,35,0.00,0.00,0,0,0,33,,,,https://www.groundworks.com/glossary/soil-layers/,0
vapor barrier basement crawl space,Commercial,9900,7,6.66,1.00,0,0,0,78,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-seal/,449000
concrete crack repair,Informational,8100,35,2.57,1.00,0,0,0,41,,,,https://www.groundworks.com/resources/how-to-repair-cracks-in-concrete/,24900000
concrete lifting,Informational,8100,21,12.48,0.53,0,0,0,3,,,,https://www.groundworks.com/resources/concrete-leveling-ultimate-guide/,201
crawl space mold removal,Informational,8100,12,11.85,0.48,0,0,0,5,,,,https://www.groundworks.com/resources/removing-crawl-space-mold/,1980000
crawl space waterproofing,Informational,8100,17,14.17,0.49,0,0,0,83,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-waterproofing/,3500000
drainage pipe,"Commercial, Informational",8100,16,2.38,0.93,0,0,0,30,,,,https://www.groundworks.com/glossary/drainage-pipe/,261000000
foundation cracks,Informational,8100,12,7.24,0.41,0,0,71,0,,,https://crackx.com/the-dangers-of-ignoring-foundation-cracks-when-to-take-action/,,205
foundation repair contractors,Commercial,8100,26,20.97,0.05,0,0,0,5,,,,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,0
helical piles,Informational,8100,14,2.49,0.54,0,0,0,86,,,,https://www.groundworks.com/solutions/foundation-repair/helical-piers/,1040000
mudjacking,Informational,8100,29,11.55,0.57,0,0,0,31,,,,https://www.groundworks.com/resources/what-is-mudjacking/,0
pier and beam foundation,Informational,8100,16,6.36,0.20,0,0,0,10,,,,https://www.groundworks.com/resources/how-to-build-a-pier-and-beam-foundation/,0
rim joist,Informational,8100,31,2.59,0.01,0,0,0,4,,,,https://www.groundworks.com/glossary/rim-joists/,2090000
slab leak,Informational,8100,19,12.74,0.50,0,0,0,38,,,,https://www.groundworks.com/resources/slab-leakage/,12300000
the notebook house,Informational,8100,32,0.00,0.00,0,0,0,44,,,,https://www.groundworks.com/resources/the-notebook-movie-house-floor-plan-and-renovations/,262000000
underground city,Informational,8100,40,0.86,0.02,0,0,0,74,,,,https://www.groundworks.com/resources/u-s-cities-with-incredible-underground-tunnel-systems/,0
vapor barrier crawl space,"Commercial, Informational",8100,16,6.66,1.00,0,0,0,33,,,,https://www.groundworks.com/solutions/crawl-space-repair/vapor-barrier/,200
waterproof basement,Informational,8100,37,15.25,0.36,0,0,0,48,,,,https://www.groundworks.com/resources/interior-vs-exterior-waterproofing/,0
waterproofing basement,Informational,8100,36,15.25,0.36,0,0,0,46,,,,https://www.groundworks.com/resources/basement-waterproofing-ultimate-guide/,26100000
basement bar ideas,Commercial,6600,27,0.71,1.00,0,0,0,45,,,,https://www.groundworks.com/resources/our-picks-for-best-basement-bar-ideas/,0
basement crack repair,Informational,6600,20,15.13,0.41,0,35,0,0,,https://www.a1foundationcrackrepair.com/,,,161
basement sump pump,"Commercial, Informational",6600,51,4.06,1.00,0,0,0,48,,,,https://www.groundworks.com/resources/sump-pump-systems-what-are-your-options/,0
crawl space foundation,Informational,6600,9,8.31,0.21,0,0,0,1,,,,https://www.groundworks.com/glossary/crawl-space/,21600000
dehumidifier for crawl space,Commercial,6600,17,2.56,1.00,0,0,0,47,,,,https://www.groundworks.com/solutions/crawl-space-repair/dehumidifier/,204
footings foundations and concrete,Informational,6600,9,3.36,0.27,0,0,0,20,,,,https://www.groundworks.com/glossary/concrete-footing/,203
foundation repair companies near me,Transactional,6600,44,21.32,0.43,0,0,0,8,,,,https://www.groundworks.com/solutions/foundation-repair/,133000000
foundation repair company,Commercial,6600,44,23.53,0.13,0,0,0,7,,,,https://www.groundworks.com/,0
groundwork,Commercial,6600,61,9.18,0.38,0,0,0,23,,,,https://www.groundworks.com/,152
joists,Informational,6600,32,5.96,0.21,0,0,0,34,,,,https://www.groundworks.com/glossary/floor-joists/,130
slab foundation,Informational,6600,24,3.92,0.07,0,0,0,19,,,,https://www.groundworks.com/resources/how-to-build-a-slab-foundation/,64100000
what is a sump pump,Informational,6600,37,0.61,0.09,0,0,0,76,,,,https://www.groundworks.com/resources/what-is-basement-sump-pump/,22600000
a rain gutter,"Informational, Transactional",5400,43,0.00,0.17,0,0,0,71,,,,https://www.groundworks.com/glossary/gutters/,22900000
basement egress window,Informational,5400,28,3.36,0.97,0,0,0,23,,,,https://www.groundworks.com/solutions/basement-waterproofing/egress-windows/,2520000
basement encapsulation,Informational,5400,20,12.04,0.75,0,0,0,9,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,0
basement foundation repair,Commercial,5400,28,18.41,0.47,0,47,0,0,,https://www.a1foundationcrackrepair.com/,,,23400000
basement foundation waterproofing,Informational,5400,36,12.96,0.77,0,0,0,29,,,,https://www.groundworks.com/resources/how-to-waterproof-foundation-walls-from-outside/,194
basement insulation,"Commercial, Informational",5400,29,3.16,0.94,0,0,0,26,,,,https://www.groundworks.com/resources/how-to-insulate-basement/,23800000
basement leak repair near me,Transactional,5400,27,27.26,0.48,0,0,0,40,,,,https://www.groundworks.com/service-areas/basement-waterproofing-cape-girardeau-mo/,0
basement sealing,Commercial,5400,41,6.63,0.77,0,0,0,26,,,,https://www.groundworks.com/solutions/basement-waterproofing/,46600000
basement waterproofing cost,Informational,5400,22,7.67,0.62,0,0,0,25,,,,https://www.groundworks.com/resources/how-much-does-basement-waterproofing-cost/,6590000
bee nest,Informational,5400,35,3.58,0.03,0,0,0,22,,,,https://www.groundworks.com/resources/what-hive-is-it/,29200
class a fire,Informational,5400,32,0.34,0.00,0,0,0,44,,,,https://www.groundworks.com/glossary/class-a-fire-rating/,141
concrete lifting near me,Transactional,5400,40,13.01,0.75,0,0,0,7,,,,https://www.groundworks.com/solutions/concrete-lifting/,40600000
concrete pool deck repair,Informational,5400,17,7.20,0.71,0,0,0,22,,,,https://www.groundworks.com/solutions/concrete-lifting/pool-deck-cracks/,0
crack in foundation,Informational,5400,11,6.62,0.41,0,11,0,17,,https://www.a1foundationcrackrepair.com/,,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,90700000
crawl space cleaning,Commercial,5400,19,12.25,0.81,0,0,0,66,,,,https://www.groundworks.com/resources/how-to-clean-crawl-space/,15800000
crawl space vent covers,Commercial,5400,4,0.69,1.00,0,0,0,44,,,,https://www.groundworks.com/solutions/crawl-space-repair/vent-covers/,189
crawl space vents,Informational,5400,27,1.52,1.00,0,0,0,16,,,,https://www.groundworks.com/solutions/crawl-space-repair/open-vent/,5150000
crawlspace dehumidifier,Commercial,5400,9,2.48,1.00,0,0,0,42,,,,https://www.groundworks.com/solutions/crawl-space-repair/dehumidifier/,1390000
crawlspace vapor barrier,Commercial,5400,7,5.74,1.00,0,0,0,51,,,,https://www.groundworks.com/solutions/crawl-space-repair/vapor-barrier/,1810000
driveway repair near me,Transactional,5400,41,9.97,0.72,0,0,0,49,,,,https://www.groundworks.com/service-areas/driveway-repair-oklahoma-city-ok/,30700000
encapsulation crawl space,Informational,5400,13,11.92,0.39,0,0,0,88,,,,https://www.groundworks.com/resources/do-i-need-encapsulation-in-crawl-space/,197
floor joists,Informational,5400,16,2.22,0.09,0,0,0,22,,,,https://www.groundworks.com/glossary/floor-joists/,195
foundation inspection near me,Transactional,5400,17,22.87,0.32,0,0,0,5,,,,https://www.groundworks.com/,0
foundation piers,Informational,5400,26,6.23,0.18,0,0,0,2,,,,https://www.groundworks.com/resources/5-things-to-know-about-foundation-piers/,0
