Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
groundworks,1,1,14800,60,9.18,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,11840,13.97,108691.00,0.38,41600000,"[44,81,66,66,54,81,100,66,81,66,100,54]",2026-03-05,"Knowledge panel, Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
ground works,1,1,3600,42,9.18,https://www.groundworks.com/,2880,3.4,26438.00,0.38,1360000000,"[44,66,44,53,81,81,66,81,35,53,53,81]",2026-03-03,"Local pack, Sitelinks, Video, People also ask, Related searches, See results about",navigational,Organic
foundation contractors near me,1,1,9900,42,13.72,https://www.groundworks.com/locations/groundworks-tulsa/groundworks-tulsa-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-tul,2455,2.89,33682.00,0.67,77400000,"[13,10,24,29,19,44,44,100,100,54,29,44]",2026-03-04,"Local pack, Video, People also ask, Related searches",transactional,Local pack
foundation systems of michigan,1,1,2400,49,16.28,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,1920,2.26,31257.00,0.58,140,"[35,44,35,53,66,53,53,53,44,44,44,24]",2026-03-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Local pack
groundworks foundation repair,1,1,2400,37,11.69,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,1920,2.26,22444.00,0.84,521000,"[24,29,35,29,35,81,100,29,81,35,29,24]",2026-03-03,"Local pack, Sitelinks, Related searches, Things to know",navigational,Local pack
crawl space repair near me,1,1,22200,11,18.29,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,1820,2.14,33287.00,0.53,14200000,"[2,3,5,10,16,24,20,100,44,20,8,16]",2026-03-04,"Local pack, Image, People also ask, Related searches, AI overview",transactional,Local pack
foundation repair,2,2,60500,12,24.69,https://www.groundworks.com/service-areas/foundation-repair-springfield-mo/,1452,1.71,35849.00,0.26,0,"[36,20,36,24,45,36,100,82,55,55,55,67]",2026-03-07,"Local pack, Video, Image, Video Carousel, Related searches",informational,Organic
home foundation repair,1,1,9900,23,19.20,https://www.groundworks.com/locations/groundworks-fairfield/groundworks-fairfield-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,1306,1.54,25075.00,0.54,0,"[13,24,24,29,44,54,81,100,66,54,54,16]",2026-03-09,"Local pack, Sitelinks, Video, Related searches, Short videos",commercial,Local pack
innovative basement authority,1,1,1600,33,7.41,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,1280,1.51,9484.00,0.44,2660000,"[41,54,41,66,79,20,66,79,100,79,54,41]",2026-01-27,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
basement waterproofing,6,6,60500,48,14.01,https://www.groundworks.com/solutions/basement-waterproofing/,1149,1.35,16097.00,0.49,0,"[29,44,54,81,36,54,54,100,100,54,54,66]",2026-03-06,"Local pack, Image pack, Video, Related searches, AI overview",commercial,Organic
groundwork,1,1,6600,61,9.18,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,871,1.02,7995.00,0.38,152,"[44,24,44,44,66,44,24,29,29,44,54,54]",2026-03-06,"Instant answer, Local pack, Video, Image, Video Carousel, Related searches, See results about",commercial,Local pack
crawl space foundation,1,1,6600,9,8.31,https://www.groundworks.com/glossary/crawl-space/,871,1.02,7238.00,0.21,21600000,"[19,19,19,23,54,54,66,100,66,81,66,81]",2026-03-07,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, See results about, AI overview",informational,Organic
foundation inspection,1,0,9900,9,24.35,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,811,0.95,19747.00,0.26,148,"[29,24,24,19,44,54,100,100,66,54,54,66]",2026-03-09,"Local pack, Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Local pack
crawl space waterproofing near me,1,1,12100,5,16.20,https://www.groundworks.com/service-areas/crawl-space-repair-brunswick-ga/,786,0.92,12733.00,0.15,0,"[2,13,19,19,29,19,100,81,36,36,54,67]",2026-03-07,"Local pack, Related searches",transactional,Organic
flooded basement,1,1,18100,27,41.11,https://www.groundworks.com/resources/is-flooded-basement-dangerous/,748,0.88,30750.00,0.51,30800000,"[36,36,44,54,54,66,66,81,100,81,81,81]",2026-03-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Image pack
house foundation repair,1,1,12100,10,19.20,https://www.groundworks.com/resources/ultimate-guide-foundation-repair/,735,0.86,14112.00,0.54,146,"[13,29,29,24,54,54,81,100,81,54,44,44]",2026-03-06,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
