------------------------------
ID: 20347018_2217918
Report type: position_tracking_rankings_overview
Period: 20240828 - 20260309
------------------------------

Keyword,*.attackacrack.com/*_20260309,*.attackacrack.com/*_20260309_visibility,*.attackacrack.com/*_20260309_type,*.attackacrack.com/*_20260309_landing,*.attackacrack.com/*_difference,*.attackacrack.com/*_visibility_difference,*.a1foundationcrackrepair.com/*_20260309,*.a1foundationcrackrepair.com/*_20260309_visibility,*.a1foundationcrackrepair.com/*_20260309_type,*.a1foundationcrackrepair.com/*_20260309_landing,*.a1foundationcrackrepair.com/*_difference,*.a1foundationcrackrepair.com/*_visibility_difference,*.crackx.com/*_20260309,*.crackx.com/*_20260309_visibility,*.crackx.com/*_20260309_type,*.crackx.com/*_20260309_landing,*.crackx.com/*_difference,*.crackx.com/*_visibility_difference,*.groundworks.com/*_20260309,*.groundworks.com/*_20260309_visibility,*.groundworks.com/*_20260309_type,*.groundworks.com/*_20260309_landing,*.groundworks.com/*_difference,*.groundworks.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
basement concrete repair,1,0.42735,local,,99,0.42735,4,0.09275,ai overview,https://www.a1foundationcrackrepair.com/massachusetts,96,0.09275,34,0.00869,organic,https://crackx.com/natick-massachusetts/,66,0.00869,102,0.00012,organic,https://www.groundworks.com/,-2,0.00012,,c,n/a,10,21
basement crack fix,1,0.42735,local,,99,0.42735,-,0.00000,,,-,0.00000,13,0.01644,organic,https://crackx.com/connecticut/,87,0.01644,-,0.00000,,,-,0.00000,,c,10.00,10,23
basement crack repair,1,0.42735,local,,99,0.42735,24,0.01104,organic,https://www.a1foundationcrackrepair.com/,76,0.01104,31,0.00939,organic,https://crackx.com/natick-massachusetts/,69,0.00939,88,0.00153,organic,https://www.groundworks.com/,12,0.00153,tracking,c,10.00,10,39
concrete crack repair company,1,0.42735,local,,99,0.42735,32,0.00916,organic,https://www.a1foundationcrackrepair.com/,68,0.00916,27,0.01033,organic,https://crackx.com/natick-massachusetts/,73,0.01033,-,0.00000,,,-,0.00000,,c,n/a,10,7
concrete crack repair near me,1,0.42735,local,,99,0.42735,32,0.00916,organic,https://www.a1foundationcrackrepair.com/,68,0.00916,29,0.00986,organic,https://crackx.com/natick-massachusetts/,71,0.00986,-,0.00000,,,-,0.00000,,t,n/a,10,36
concrete foundation repair,1,0.42735,local,,99,0.42735,23,0.01127,organic,https://www.a1foundationcrackrepair.com/,77,0.01127,-,0.00000,,,-,0.00000,113,0.00012,organic,https://www.groundworks.com/,-13,0.00012,tracking,c,n/a,10,23
concrete stitches,1,0.42735,ai overview,https://www.attackacrack.com/carbon-fiber-stitches,99,0.42735,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,12
connecticut foundation repair,1,0.42735,local,,99,0.42735,19,0.01291,reviews,https://www.a1foundationcrackrepair.com/connecticut,81,0.01291,13,0.01644,organic,https://crackx.com/connecticut/,87,0.01644,23,0.01127,organic,https://www.groundworks.com/service-areas/foundation-repair-hartford-ct/,77,0.01127,,c,n/a,10,23
crack repair,1,0.42735,local,,99,0.42735,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,41
crack repair near me,1,0.42735,local,,99,0.42735,10,0.02583,organic,https://www.a1foundationcrackrepair.com/,90,0.02583,13,0.01644,organic,https://crackx.com/natick-massachusetts/,87,0.01644,29,0.00986,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,71,0.00986,,t,n/a,10,34
