"Topic","Frequency","User Count"
"carbon fiber","8","1"
"foundation cracks","2","0"
"carbon fiber staple","3","0"
"carbon fiber staples","2","0"
"foundation repair","2","0"
"basement wall","2","0"
"Fortress Stabilization System","1","0"
"carbon fiber straps","3","0"
"Epoxy injection","1","0"
"foundation crack repair","1","0"
"structural cracks","2","0"
"tensile strength","1","0"
"Epoxy adhesive","1","0"
"crack injection","1","0"
"structural reinforcement","1","0"
"helical piers","1","0"
"push piers","1","0"
"Emecole Metro","2","0"
"Carbon Fiber Stitching","1","0"
"concrete crack repair","2","0"
"structural epoxy adhesive","1","0"
"basement waterproofing","1","0"
"bowing walls","1","0"
"Rhino Carbon Fiber","2","0"
"Carbon Fiber Grids","3","0"
"tensile strength filament tows","1","0"
"concrete foundation wall","1","0"
"concrete structural cracks","1","0"
"grid system","1","0"
"epoxy resin","1","0"
"horizontal cracks","1","0"
"wall movement","1","0"
"painted over","1","0"
"dual cartridges","1","0"
"Fortress 4000","1","0"
"Torque Lock Structural Staples","3","0"
"carbon fiber strip","1","0"
"fabric strips","1","0"
"Carbon Fiber Power Grid Kit","2","0"
"Emecole Metro 4121 Carbon Fiber Epoxy","3","0"
"Foundation Crack Repair Kit","1","0"
"Carbon Fiber Reinforced Polymer","1","0"
"Kevlar® straps","1","0"
"Fortress Xtreme 4070 epoxy","2","0"
"The Real Seal","3","0"
"Countersunk Staples","5","0"
"Static mixer","1","0"
"Corner Wall Repair","1","0"
"Concrete Crack Lock stitch","1","0"
"slab and pool repair","1","0"
"structural cracking","2","0"
"102 Premium Polyurethane","1","0"
"slab on grade foundation","3","0"
"crack chase","1","0"
"concrete gash","1","0"
"stress load","2","0"
"basement wall repair","2","0"
"home foundations","1","0"
"bowing foundation walls","1","0"
"drainage boards","1","0"
"Bowed Wall Repair Kits","1","0"
"structural strengthening","3","0"
"grid pattern","1","0"
"post-tension controlled compression","1","0"
"real-world tested","1","0"
"strength of the carbon fiber staples","1","0"
"structural engineer","1","0"
"Safe Basements","1","0"
"SafeBase push piers","1","0"
"Crack Attack","5","0"
"US Government Import fee","1","0"
"industry-leading technology","1","0"
"labor time","1","0"
"aesthetic finished look","1","0"
"customer service","1","0"
"spray on foam","1","0"
"contractor pricing","2","0"
"D-I-Y product solutions","1","0"
"Southern California","1","0"
"International Code Council Evaluation Service","1","0"
"Chicago foundation experts","1","0"
"precast concrete reinforcement","1","0"
"Green Turbo Mixers","1","0"
"Prop 65 Warning","1","0"
"Crack Stitch™","0","0"
"diagonal, horizontal, jagged or stair-stepped cracks","0","0"
"reinforcement system","0","0"
"helical tiebacks","0","0"
"load distribution","0","0"
"pressure distribution","0","0"
"lab tested","0","0"
