"Topic","Frequency","User Count"
"concrete cracks","1","1"
"low viscosity","1","0"
"hairline cracks","1","0"
"concrete repair","1","0"
"concrete surfaces","1","0"
"concrete foundation cracks","2","0"
"concrete floors","1","0"
"foundation crack repair","1","0"
"liquid polyurethane","1","0"
"Hybrid Polyurethane","1","0"
"crack repair materials","1","0"
"Poxy Paste Crack Seal & Port Adhesive","2","0"
"caulk gun","2","0"
"cure time","1","0"
"penetrates deep into cracks","1","0"
"bond strength","1","0"
"Garage Floors","1","0"
"basement floors","3","0"
"safety data sheet","1","0"
"technical support","1","0"
"corner ports","2","0"
"safety glasses","1","0"
"nitrile gloves","1","0"
"Sikaflex® + Concrete Fix","1","0"
"hybrid polyurethane crack repair","1","0"
"Fast-Setting Polyurethane Concrete Crack Filler","2","0"
"Low viscosity polyurethane","1","0"
"Hydra Stop 300 polyurethane resin","1","0"
"concrete repair epoxy","1","0"
"Belzona 4111","1","0"
"Bulkfill Resin","1","0"
"concrete resurfacing epoxy","1","0"
"Overhead and vertical concrete repair epoxy","1","0"
"heat and acid resistant concrete repair epoxy","1","0"
"Chemical resistant epoxy","1","0"
"AHR Magma-Quartz","1","0"
"two-component epoxy resin","1","0"
"fast set resin","1","0"
"Epoxy Concrete Crack Repair Gel","1","0"
"two-component rigid polymer","1","0"
"FastSet® Concrete Crack Repair","2","0"
"bulk kit","3","0"
"Concrete Floor Repair Kits","1","0"
"Fast Set Concrete Foundation Crack Repair Kit","1","0"
"joint movement","2","0"
"Federal specification TT-S-00230C","1","0"
"ASTM C-920","1","0"
"superior bond","1","0"
"traffic in one hour","1","0"
"compressive strength","1","0"
"high performance","2","0"
"high strength","1","0"
"bonding strength","1","0"
"Fast cure time","1","0"
"radon reduction","2","0"
"Warehouse Floors","1","0"
"Bridge Decks","1","0"
"heavy foot traffic","1","0"
"residential sidewalks","1","0"
"vertical walls","1","0"
"anchoring objects","1","0"
"retaining walls","1","0"
"industrial concrete floors","1","0"
"Carbon Fiber Stitching Dogs","1","0"
"Filler Sand","3","0"
"Mixer Needle Tips","2","0"
"water source","2","0"
"mix ratio","1","0"
"weather changes","1","0"
"Liquid Steel","3","0"
"Innovative Concrete Technology","1","0"
"CD-Rom instructional video","3","0"
"surface ports","1","0"
"injection hose assembly","1","0"
"radon gas","4","0"
"technical support team","1","0"
"Ground Delivery","2","0"
"Fast Shipping","2","0"
"water intrusion","1","0"
"groundwater seepage","1","0"
"radon infiltration","1","0"
"Prop 65 Warning","1","0"
"fuse concrete","0","0"
"metal surfaces","0","0"
"customer service","0","0"
"water leaks","0","0"
"dry basement","0","0"
